brand id,brand name,type,slug,dosage form,generic,strength,manufacturer,package container,Package Size
6824,Ceflin,allopathic,ceflincapsule500-mg,Capsule,Cephradine,500 mg,Nipa Pharmaceuticals Ltd.,"Unit Price: ৳ 12.66,(20's pack: ৳ 253.20),",(20's pack: ৳ 253.20)
7943,Cefixon,allopathic,cefixoniv-injection2-gmvial,IV Injection,Ceftriaxone Sodium,2 gm/vial,Techno Drugs Ltd.,2 gm vial: ৳ 300.00,
7942,Cefixon,allopathic,cefixoniv-injection1-gmvial,IV Injection,Ceftriaxone Sodium,1 gm/vial,Techno Drugs Ltd.,1 gm vial: ৳ 250.00,
7941,Cefixon,allopathic,cefixoniv-injection500-mgvial,IV Injection,Ceftriaxone Sodium,500 mg/vial,Techno Drugs Ltd.,500 mg vial: ৳ 150.00,
7514,Cefixime-A,allopathic,cefixime-acapsule200-mg,Capsule,Cefixime Trihydrate,200 mg,Ad-din Pharmaceuticals Ltd.,"Unit Price: ৳ 30.00,(5's pack: ৳ 150.00),",(5's pack: ৳ 150.00)
7515,Cefixime-A,allopathic,cefixime-apowder-for-suspension100-mg5-ml,Powder for Suspension,Cefixime Trihydrate,100 mg/5 ml,Ad-din Pharmaceuticals Ltd.,50 ml bottle: ৳ 180.00,
18752,Cefixim DS,allopathic,cefixim-dspowder-for-suspension200-mg5-ml,Powder for Suspension,Cefixime Trihydrate,200 mg/5 ml,Ibn Sina Pharmaceuticals Ltd.,50 ml bottle: ৳ 280.00,
18753,Cefixim,allopathic,cefiximpediatric-drops25-mgml,Pediatric Drops,Cefixime Trihydrate,25 mg/ml,Ibn Sina Pharmaceuticals Ltd.,21 ml bottle: ৳ 100.00,
18751,Cefixim,allopathic,cefiximpowder-for-suspension100-mg5-ml,Powder for Suspension,Cefixime Trihydrate,100 mg/5 ml,Ibn Sina Pharmaceuticals Ltd.,"30 ml bottle: ৳ 130.00,40 ml bottle: ৳ 180.00,50 ml bottle: ৳ 210.00,75 ml bottle: ৳ 240.00",
18749,Cefixim,allopathic,cefiximcapsule200-mg,Capsule,Cefixime Trihydrate,200 mg,Ibn Sina Pharmaceuticals Ltd.,"Unit Price: ৳ 35.00,(20's pack: ৳ 700.00),",(20's pack: ৳ 700.00)
18750,Cefixim,allopathic,cefiximcapsule400-mg,Capsule,Cefixime Trihydrate,400 mg,Ibn Sina Pharmaceuticals Ltd.,"Unit Price: ৳ 55.00,(20's pack: ৳ 1,100.00),","(20's pack: ৳ 1,100.00)"
7739,Cefipod,allopathic,cefipodpediatric-drops20-mgml,Pediatric Drops,Cefpodoxime Proxetil,20 mg/ml,Asiatic Laboratories Ltd.,15 ml bottle: ৳ 60.00,
7737,Cefipod,allopathic,cefipodpowder-for-suspension40-mg5-ml,Powder for Suspension,Cefpodoxime Proxetil,40 mg/5 ml,Asiatic Laboratories Ltd.,50 ml bottle: ৳ 98.00,
28794,Cefinaaf,allopathic,cefinaafcapsule200-mg,Capsule,Cefixime Trihydrate,200 mg,Naafco Pharma Ltd.,"Unit Price: ৳ 35.00,(14's pack: ৳ 490.00),",(14's pack: ৳ 490.00)
28795,Cefinaaf,allopathic,cefinaafcapsule400-mg,Capsule,Cefixime Trihydrate,400 mg,Naafco Pharma Ltd.,"Unit Price: ৳ 50.00,(7's pack: ৳ 350.00),",(7's pack: ৳ 350.00)
28796,Cefinaaf,allopathic,cefinaafpowder-for-suspension100-mg5-ml,Powder for Suspension,Cefixime Trihydrate,100 mg/5 ml,Naafco Pharma Ltd.,50 ml bottle: ৳ 190.00,
7505,Cefim-3 DS,allopathic,cefim-3-dscapsule400-mg,Capsule,Cefixime Trihydrate,400 mg,ACI Limited,"Unit Price: ৳ 50.34,(6's pack: ৳ 302.04),",(6's pack: ৳ 302.04)
7507,Cefim-3 DS,allopathic,cefim-3-dspowder-for-suspension200-mg5-ml,Powder for Suspension,Cefixime Trihydrate,200 mg/5 ml,ACI Limited,50 ml bottle: ৳ 300.90,
26338,Cefim-3 DS,allopathic,cefim-3-dstablet400-mg,Tablet,Cefixime Trihydrate,400 mg,ACI Limited,"Unit Price: ৳ 50.15,(7's pack: ৳ 351.05),",(7's pack: ৳ 351.05)
7504,Cefim-3,allopathic,cefim-3capsule200-mg,Capsule,Cefixime Trihydrate,200 mg,ACI Limited,"Unit Price: ৳ 35.11,(12's pack: ৳ 421.32),",(12's pack: ৳ 421.32)
7506,Cefim-3,allopathic,cefim-3powder-for-suspension100-mg5-ml,Powder for Suspension,Cefixime Trihydrate,100 mg/5 ml,ACI Limited,"30 ml bottle: ৳ 130.39,50 ml bottle: ৳ 210.63,75 ml bottle: ৳ 241.62",
26337,Cefim-3,allopathic,cefim-3tablet200-mg,Tablet,Cefixime Trihydrate,200 mg,ACI Limited,"Unit Price: ৳ 30.09,(14's pack: ৳ 421.26),",(14's pack: ৳ 421.26)
18709,Cefim-3,allopathic,cefim-3pediatric-drops25-mgml,Pediatric Drops,Cefixime Trihydrate,25 mg/ml,ACI Limited,21 ml bottle: ৳ 100.00,
18739,Cefiget,allopathic,cefigetcapsule200-mg,Capsule,Cefixime Trihydrate,200 mg,Get Well Limited,Unit Price: ৳ 34.00,
18740,Cefiget,allopathic,cefigetcapsule400-mg,Capsule,Cefixime Trihydrate,400 mg,Get Well Limited,Unit Price: ৳ 49.00,
12613,Aclobet-N,allopathic,aclobet-nointment05-mg5-mg1-lac-iugm,Ointment,Clobetasol Propionate + Neomycin Sulphate + Nystatin,(0.5 mg+5 mg+1 Lac IU)/gm,ACME Laboratories Ltd.,15 gm tube: ৳ 65.45,
12612,Aclobet-N,allopathic,aclobet-ncream05-mg5-mg1-lac-iugm,Cream,Clobetasol Propionate + Neomycin Sulphate + Nystatin,(0.5 mg+5 mg+1 Lac IU)/gm,ACME Laboratories Ltd.,15 gm tube: ৳ 60.18,
26069,Cefopen,allopathic,cefopenimiv-injection2-gmvial,IM/IV Injection,Cefoperazone Sodium,2 gm/vial,Square Pharmaceuticals Ltd.,2 gm vial: ৳ 400.00,
26068,Cefopen,allopathic,cefopenimiv-injection1-gmvial,IM/IV Injection,Cefoperazone Sodium,1 gm/vial,Square Pharmaceuticals Ltd.,1 gm vial: ৳ 250.00,
