brand id,brand name,type,slug,dosage form,generic,strength,manufacturer,package container,Package Size
29821,Cefopar,allopathic,cefoparimiv-injection1-gmvial,IM/IV Injection,Cefoperazone Sodium,1 gm/vial,Opsonin Pharma Ltd.,1 gm vial: ৳ 220.00,
29822,Cefopar,allopathic,cefoparimiv-injection2-gmvial,IM/IV Injection,Cefoperazone Sodium,2 gm/vial,Opsonin Pharma Ltd.,2 gm vial: ৳ 400.00,
27958,Cefone,allopathic,cefoneiv-injection2-gmvial,IV Injection,Ceftriaxone Sodium,2 gm/vial,Sharif Pharmaceuticals Ltd.,2 gm vial: ৳ 260.80,
27957,Cefone,allopathic,cefoneiv-injection1-gmvial,IV Injection,Ceftriaxone Sodium,1 gm/vial,Sharif Pharmaceuticals Ltd.,1 gm vial: ৳ 180.54,
27956,Cefone,allopathic,cefoneim-injection500-mgvial,IM Injection,Ceftriaxone Sodium,500 mg/vial,Sharif Pharmaceuticals Ltd.,500 mg vial: ৳ 120.37,
27955,Cefone,allopathic,cefoneim-injection250-mgvial,IM Injection,Ceftriaxone Sodium,250 mg/vial,Sharif Pharmaceuticals Ltd.,250 mg vial: ৳ 90.28,
7748,Cefomin,allopathic,cefominpowder-for-suspension40-mg5-ml,Powder for Suspension,Cefpodoxime Proxetil,40 mg/5 ml,Popular Pharmaceuticals Ltd.,50 ml bottle: ৳ 96.36,
7852,Cefokid DS,allopathic,cefokid-dspowder-for-suspension80-mg5-ml,Powder for Suspension,Cefpodoxime Proxetil,80 mg/5 ml,Euro Pharma Ltd.,50 ml bottle: ৳ 175.00,
7851,Cefokid,allopathic,cefokidpowder-for-suspension40-mg5-ml,Powder for Suspension,Cefpodoxime Proxetil,40 mg/5 ml,Euro Pharma Ltd.,50 ml bottle: ৳ 98.00,
29003,Cefoject,allopathic,cefojectimiv-injection1-gmvial,IM/IV Injection,Cefoperazone Sodium,1 gm/vial,Eskayef Pharmaceuticals Ltd.,1 gm vial: ৳ 250.00,
7745,Cefodox,allopathic,cefodoxpowder-for-suspension40-mg5-ml,Powder for Suspension,Cefpodoxime Proxetil,40 mg/5 ml,Bristol Pharmaceuticals Ltd.,50 ml bottle: ৳ 95.00,
7744,Cefodox,allopathic,cefodoxcapsule100-mg,Capsule,Cefpodoxime Proxetil,100 mg,Bristol Pharmaceuticals Ltd.,"Unit Price: ৳ 22.00,(4's pack: ৳ 88.00),",(4's pack: ৳ 88.00)
28515,Cefodim,allopathic,cefodimpowder-for-suspension40-mg5-ml,Powder for Suspension,Cefpodoxime Proxetil,40 mg/5 ml,Pacific Pharmaceuticals Ltd.,50 ml bottle: ৳ 95.00,
28514,Cefodim,allopathic,cefodimcapsule200-mg,Capsule,Cefpodoxime Proxetil,200 mg,Pacific Pharmaceuticals Ltd.,"Unit Price: ৳ 40.00,(10's pack: ৳ 400.00),",(10's pack: ৳ 400.00)
28513,Cefodim,allopathic,cefodimcapsule100-mg,Capsule,Cefpodoxime Proxetil,100 mg,Pacific Pharmaceuticals Ltd.,"Unit Price: ৳ 22.00,(20's pack: ৳ 440.00),",(20's pack: ৳ 440.00)
7520,Cefocef DS,allopathic,cefocef-dscapsule400-mg,Capsule,Cefixime Trihydrate,400 mg,Pharmadesh Laboratories Ltd.,"Unit Price: ৳ 45.16,(4's pack: ৳ 180.64),",(4's pack: ৳ 180.64)
7519,Cefocef,allopathic,cefocefcapsule200-mg,Capsule,Cefixime Trihydrate,200 mg,Pharmadesh Laboratories Ltd.,"Unit Price: ৳ 25.09,(8's pack: ৳ 200.72),",(8's pack: ৳ 200.72)
7521,Cefocef,allopathic,cefocefpowder-for-suspension100-mg5-ml,Powder for Suspension,Cefixime Trihydrate,100 mg/5 ml,Pharmadesh Laboratories Ltd.,50 ml bottle: ৳ 175.00,
18890,Cefobid,allopathic,cefobidcapsule200-mg,Capsule,Cefpodoxime Proxetil,200 mg,UniMed UniHealth,"Unit Price: ৳ 42.00,(8's pack: ৳ 336.00),",(8's pack: ৳ 336.00)
7740,Cefobid,allopathic,cefobidpowder-for-suspension40-mg5-ml,Powder for Suspension,Cefpodoxime Proxetil,40 mg/5 ml,UniMed UniHealth,50 ml bottle: ৳ 98.00,
7186,Cefobac,allopathic,cefobactablet250-mg,Tablet,Cefuroxime Axetil,250 mg,Popular Pharmaceuticals Ltd.,"Unit Price: ৳ 25.09,(20's pack: ৳ 501.80),",(20's pack: ৳ 501.80)
7187,Cefobac,allopathic,cefobactablet500-mg,Tablet,Cefuroxime Axetil,500 mg,Popular Pharmaceuticals Ltd.,"Unit Price: ৳ 45.17,(8's pack: ৳ 361.36),",(8's pack: ৳ 361.36)
7188,Cefobac,allopathic,cefobacpowder-for-suspension125-mg5-ml,Powder for Suspension,Cefuroxime Axetil,125 mg/5 ml,Popular Pharmaceuticals Ltd.,70 ml bottle: ৳ 198.75,
7189,Cefobac,allopathic,cefobacimiv-injection750-mgvial,IM/IV Injection,Cefuroxime Axetil,750 mg/vial,Popular Pharmaceuticals Ltd.,750 mg vial: ৳ 125.48,
7516,Cefmix,allopathic,cefmixcapsule200-mg,Capsule,Cefixime Trihydrate,200 mg,Monicopharma Ltd.,"Unit Price: ৳ 35.00,(12's pack: ৳ 420.00),",(12's pack: ৳ 420.00)
7517,Cefmix,allopathic,cefmixcapsule400-mg,Capsule,Cefixime Trihydrate,400 mg,Monicopharma Ltd.,"Unit Price: ৳ 50.00,(8's pack: ৳ 400.00),",(8's pack: ৳ 400.00)
7518,Cefmix,allopathic,cefmixpowder-for-suspension100-mg5-ml,Powder for Suspension,Cefixime Trihydrate,100 mg/5 ml,Monicopharma Ltd.,50 ml bottle: ৳ 195.00,
29922,Ceflon,allopathic,cefloncapsule250-mg,Capsule,Cefaclor Monohydrate,250 mg,Eskayef Pharmaceuticals Ltd.,"Unit Price: ৳ 16.00,(16's pack: ৳ 256.00),",(16's pack: ৳ 256.00)
12558,Aclobet,allopathic,aclobetointment005,Ointment,Clobetasol Propionate (Topical Preparation),0.05%,ACME Laboratories Ltd.,"10 gm tube: ৳ 50.14,30 gm tube: ৳ 150.00",
7155,Cefoxil,allopathic,cefoxiltablet250-mg,Tablet,Cefuroxime Axetil,250 mg,Rephco Pharmaceuticals Ltd.,"Unit Price: ৳ 25.00,(12's pack: ৳ 300.00),",(12's pack: ৳ 300.00)
7157,Cefoxil,allopathic,cefoxilpowder-for-suspension125-mg5-ml,Powder for Suspension,Cefuroxime Axetil,125 mg/5 ml,Rephco Pharmaceuticals Ltd.,70 ml bottle: ৳ 200.00,
28204,Cefoxguard,allopathic,cefoxguardiv-injection2-gmvial,IV Injection,Ceftriaxone Sodium,2 gm/vial,Guardian Healthcare Ltd.,2 gm vial: ৳ 300.00,
28203,Cefoxguard,allopathic,cefoxguardim-injection500-mgvial,IM Injection,Ceftriaxone Sodium,500 mg/vial,Guardian Healthcare Ltd.,500 mg vial: ৳ 120.00,
7711,Cefotime,allopathic,cefotimeimiv-injection1-gm10-ml,IM/IV Injection,Cefotaxime,1 gm/10 ml,Incepta Pharmaceuticals Ltd.,1 gm vial: ৳ 132.00,
7709,Cefotime,allopathic,cefotimeimiv-injection250-mg5-ml,IM/IV Injection,Cefotaxime,250 mg/5 ml,Incepta Pharmaceuticals Ltd.,250 mg vial: ৳ 50.00,
7710,Cefotime,allopathic,cefotimeimiv-injection500-mg10-ml,IM/IV Injection,Cefotaxime,500 mg/10 ml,Incepta Pharmaceuticals Ltd.,500 mg vial: ৳ 76.00,
7402,Cefotil Plus,allopathic,cefotil-plustablet250-mg625-mg,Tablet,Cefuroxime Axetil + Clavulanic Acid,250 mg+62.5 mg,Square Pharmaceuticals Ltd.,"Unit Price: ৳ 30.10,(12's pack: ৳ 361.20),",(12's pack: ৳ 361.20)
7403,Cefotil Plus,allopathic,cefotil-plustablet500-mg125-mg,Tablet,Cefuroxime Axetil + Clavulanic Acid,500 mg+125 mg,Square Pharmaceuticals Ltd.,"Unit Price: ৳ 50.15,(12's pack: ৳ 601.80),",(12's pack: ৳ 601.80)
19026,Cefotil Plus,allopathic,cefotil-pluspowder-for-suspension125-mg3125-mg5-ml,Powder for Suspension,Cefuroxime Axetil + Clavulanic Acid,(125 mg+31.25 mg)/5 ml,Square Pharmaceuticals Ltd.,70 ml bottle: ৳ 250.00,
7196,Cefotil,allopathic,cefotiliv-injection15-gmvial,IV Injection,Cefuroxime Axetil,1.5 gm/vial,Square Pharmaceuticals Ltd.,1.5 gm vial: ৳ 201.35,
7195,Cefotil,allopathic,cefotilimiv-injection750-mgvial,IM/IV Injection,Cefuroxime Axetil,750 mg/vial,Square Pharmaceuticals Ltd.,750 mg vial: ৳ 132.00,
7194,Cefotil,allopathic,cefotilpowder-for-suspension125-mg5-ml,Powder for Suspension,Cefuroxime Axetil,125 mg/5 ml,Square Pharmaceuticals Ltd.,70 ml bottle: ৳ 199.34,
7193,Cefotil,allopathic,cefotiltablet500-mg,Tablet,Cefuroxime Axetil,500 mg,Square Pharmaceuticals Ltd.,"Unit Price: ৳ 45.29,(12's pack: ৳ 543.48),",(12's pack: ৳ 543.48)
7192,Cefotil,allopathic,cefotiltablet250-mg,Tablet,Cefuroxime Axetil,250 mg,Square Pharmaceuticals Ltd.,"Unit Price: ৳ 25.17,(20's pack: ৳ 503.40),",(20's pack: ৳ 503.40)
7706,Cefotax,allopathic,cefotaximiv-injection250-mg5-ml,IM/IV Injection,Cefotaxime,250 mg/5 ml,Renata Limited,250 mg vial: ৳ 75.00,
7708,Cefotax,allopathic,cefotaximiv-injection1-gm10-ml,IM/IV Injection,Cefotaxime,1 gm/10 ml,Renata Limited,1 gm vial: ৳ 180.00,
7707,Cefotax,allopathic,cefotaximiv-injection500-mg10-ml,IM/IV Injection,Cefotaxime,500 mg/10 ml,Renata Limited,500 mg vial: ৳ 100.00,
7704,Cefot,allopathic,cefotimiv-injection1-gm10-ml,IM/IV Injection,Cefotaxime,1 gm/10 ml,ACI Limited,1 gm vial: ৳ 132.40,
32240,Cefot,allopathic,cefotimiv-injection2-mg10-ml,IM/IV Injection,Cefotaxime,2 mg/10 ml,ACI Limited,2 gm vial: ৳ 250.75,
7703,Cefot,allopathic,cefotimiv-injection500-mg10-ml,IM/IV Injection,Cefotaxime,500 mg/10 ml,ACI Limited,500 mg vial: ৳ 76.23,
7702,Cefot,allopathic,cefotimiv-injection250-mg5-ml,IM/IV Injection,Cefotaxime,250 mg/5 ml,ACI Limited,250 mg vial: ৳ 50.15,
7752,Ceforan DS,allopathic,ceforan-dspowder-for-suspension80-mg5-ml,Powder for Suspension,Cefpodoxime Proxetil,80 mg/5 ml,Drug International Ltd.,50 ml bottle: ৳ 175.00,
31048,Ceforan,allopathic,ceforancapsule200-mg,Capsule,Cefpodoxime Proxetil,200 mg,Drug International Ltd.,"Unit Price: ৳ 25.00,(14's pack: ৳ 350.00),",(14's pack: ৳ 350.00)
7751,Ceforan,allopathic,ceforanpowder-for-suspension40-mg5-ml,Powder for Suspension,Cefpodoxime Proxetil,40 mg/5 ml,Drug International Ltd.,"50 ml bottle: ৳ 75.25,100 ml bottle: ৳ 120.39",
26607,Ceforan,allopathic,ceforantablet100-mg,Tablet,Cefpodoxime Proxetil,100 mg,Drug International Ltd.,"Unit Price: ৳ 17.00,(16's pack: ৳ 272.00),",(16's pack: ৳ 272.00)
26608,Ceforan,allopathic,ceforantablet200-mg,Tablet,Cefpodoxime Proxetil,200 mg,Drug International Ltd.,"Unit Price: ৳ 28.00,(16's pack: ৳ 448.00),",(16's pack: ৳ 448.00)
28355,Ceforan,allopathic,ceforancapsule100-mg,Capsule,Cefpodoxime Proxetil,100 mg,Drug International Ltd.,"Unit Price: ৳ 19.99,(14's pack: ৳ 279.86),",(14's pack: ৳ 279.86)
18862,Cefoprox DS,allopathic,cefoprox-dspowder-for-suspension80-mg5-ml,Powder for Suspension,Cefpodoxime Proxetil,80 mg/5 ml,Leon Pharmaceuticals Ltd.,50 ml bottle: ৳ 175.00,
7853,Cefoprox,allopathic,cefoproxpowder-for-suspension40-mg5-ml,Powder for Suspension,Cefpodoxime Proxetil,40 mg/5 ml,Leon Pharmaceuticals Ltd.,50 ml bottle: ৳ 98.00,
12557,Aclobet,allopathic,aclobetcream005,Cream,Clobetasol Propionate (Topical Preparation),0.05%,ACME Laboratories Ltd.,10 gm tube: ৳ 45.13,
27324,Ceftem,allopathic,ceftempowder-for-suspension100-mg5-ml,Powder for Suspension,Cefixime Trihydrate,100 mg/5 ml,Team Pharmaceuticals Ltd.,50 ml bottle: ৳ 185.00,
7862,Ceftazim,allopathic,ceftazimimiv-injection250-mgvial,IM/IV Injection,Ceftazidime Pentahydrate,250 mg/vial,Aristopharma Ltd.,250 mg vial: ৳ 85.00,
7863,Ceftazim,allopathic,ceftazimimiv-injection500-mgvial,IM/IV Injection,Ceftazidime Pentahydrate,500 mg/vial,Aristopharma Ltd.,500 mg vial: ৳ 130.00,
7864,Ceftazim,allopathic,ceftazimimiv-injection1-gmvial,IM/IV Injection,Ceftazidime Pentahydrate,1 gm/vial,Aristopharma Ltd.,1 gm vial: ৳ 240.00,
7712,Ceftax,allopathic,ceftaximiv-injection250-mg5-ml,IM/IV Injection,Cefotaxime,250 mg/5 ml,Opsonin Pharma Ltd.,250 mg vial: ৳ 50.19,
7714,Ceftax,allopathic,ceftaximiv-injection1-gm10-ml,IM/IV Injection,Cefotaxime,1 gm/10 ml,Opsonin Pharma Ltd.,1 gm vial: ৳ 132.50,
7713,Ceftax,allopathic,ceftaximiv-injection500-mg10-ml,IM/IV Injection,Cefotaxime,500 mg/10 ml,Opsonin Pharma Ltd.,500 mg vial: ৳ 76.29,
7202,Cefstar,allopathic,cefstarpowder-for-suspension125-mg5-ml,Powder for Suspension,Cefuroxime Axetil,125 mg/5 ml,Pharmadesh Laboratories Ltd.,70 ml bottle: ৳ 190.00,
7201,Cefstar,allopathic,cefstartablet500-mg,Tablet,Cefuroxime Axetil,500 mg,Pharmadesh Laboratories Ltd.,"Unit Price: ৳ 45.16,(8's pack: ৳ 361.28),",(8's pack: ৳ 361.28)
7200,Cefstar,allopathic,cefstartablet250-mg,Tablet,Cefuroxime Axetil,250 mg,Pharmadesh Laboratories Ltd.,"Unit Price: ৳ 25.08,(8's pack: ৳ 200.64),",(8's pack: ৳ 200.64)
7199,Cefstar,allopathic,cefstartablet125-mg,Tablet,Cefuroxime Axetil,125 mg,Pharmadesh Laboratories Ltd.,"Unit Price: ৳ 15.05,(10's pack: ৳ 150.50),",(10's pack: ৳ 150.50)
30468,Cefrozil,allopathic,cefroziltablet500-mg,Tablet,Cefprozil,500 mg,Popular Pharmaceuticals Ltd.,"Unit Price: ৳ 55.19,(8's pack: ৳ 441.48),",(8's pack: ৳ 441.48)
30469,Cefrozil,allopathic,cefrozilpowder-for-suspension125-mg5-ml,Powder for Suspension,Cefprozil,125 mg/5 ml,Popular Pharmaceuticals Ltd.,50 ml bottle: ৳ 230.87,
30467,Cefrozil,allopathic,cefroziltablet250-mg,Tablet,Cefprozil,250 mg,Popular Pharmaceuticals Ltd.,"Unit Price: ৳ 30.11,(10's pack: ৳ 301.10),",(10's pack: ৳ 301.10)
7197,Cefroxil,allopathic,cefroxiltablet250-mg,Tablet,Cefuroxime Axetil,250 mg,Hallmark Pharmaceuticals Ltd.,"Unit Price: ৳ 25.00,(8's pack: ৳ 200.00),,Unit Price: ৳ 25.00,(12's pack: ৳ 300.00),","(8's pack: ৳ 200.00),(12's pack: ৳ 300.00)"
7198,Cefroxil,allopathic,cefroxilpowder-for-suspension125-mg5-ml,Powder for Suspension,Cefuroxime Axetil,125 mg/5 ml,Hallmark Pharmaceuticals Ltd.,70 ml bottle: ৳ 195.74,
6836,Cefrasyn,allopathic,cefrasyncapsule500-mg,Capsule,Cephradine,500 mg,MST Pharma,"Unit Price: ৳ 13.00,(20's pack: ৳ 260.00),",(20's pack: ৳ 260.00)
6837,Cefrasyn,allopathic,cefrasynpowder-for-suspension125-mg5-ml,Powder for Suspension,Cephradine,125 mg/5 ml,MST Pharma,100 ml bottle: ৳ 80.00,
6834,Cefranov,allopathic,cefranovcapsule500-mg,Capsule,Cephradine,500 mg,Novus Pharmaceuticals Ltd.,"Unit Price: ৳ 12.50,(24's pack: ৳ 300.00),",(24's pack: ৳ 300.00)
6835,Cefranov,allopathic,cefranovpowder-for-suspension125-mg5-ml,Powder for Suspension,Cephradine,125 mg/5 ml,Novus Pharmaceuticals Ltd.,100 ml bottle: ৳ 80.00,
6830,Ceframed,allopathic,ceframedcapsule250-mg,Capsule,Cephradine,250 mg,Medimet Pharmaceuticals Ltd.,"Unit Price: ৳ 7.00,(50's pack: ৳ 350.00),",(50's pack: ৳ 350.00)
6831,Ceframed,allopathic,ceframedcapsule500-mg,Capsule,Cephradine,500 mg,Medimet Pharmaceuticals Ltd.,"Unit Price: ৳ 12.00,(20's pack: ৳ 240.00),",(20's pack: ৳ 240.00)
6832,Ceframed,allopathic,ceframedpowder-for-suspension125-mg5-ml,Powder for Suspension,Cephradine,125 mg/5 ml,Medimet Pharmaceuticals Ltd.,100 ml bottle: ৳ 80.00,
6833,Ceframed,allopathic,ceframedpediatric-drops125-mg125-ml,Pediatric Drops,Cephradine,125 mg/1.25 ml,Medimet Pharmaceuticals Ltd.,15 ml bottle: ৳ 50.00,
17170,Cefracef DS,allopathic,cefracef-dspowder-for-suspension250-mg5-ml,Powder for Suspension,Cephradine,250 mg/5 ml,NIPRO JMI Pharma Ltd.,100 ml bottle: ৳ 135.00,
6827,Cefracef,allopathic,cefracefcapsule250-mg,Capsule,Cephradine,250 mg,NIPRO JMI Pharma Ltd.,"Unit Price: ৳ 6.55,(30's pack: ৳ 196.50),",(30's pack: ৳ 196.50)
6828,Cefracef,allopathic,cefracefcapsule500-mg,Capsule,Cephradine,500 mg,NIPRO JMI Pharma Ltd.,"Unit Price: ৳ 12.59,(24's pack: ৳ 302.16),",(24's pack: ৳ 302.16)
6829,Cefracef,allopathic,cefracefpowder-for-suspension125-mg5-ml,Powder for Suspension,Cephradine,125 mg/5 ml,NIPRO JMI Pharma Ltd.,100 ml bottle: ৳ 80.55,
18895,Cefpod,allopathic,cefpodtablet100-mg,Tablet,Cefpodoxime Proxetil,100 mg,Zenith Pharmaceuticals Ltd.,"Unit Price: ৳ 22.00,(6's pack: ৳ 132.00),",(6's pack: ৳ 132.00)
7156,Cefoxil,allopathic,cefoxiltablet500-mg,Tablet,Cefuroxime Axetil,500 mg,Rephco Pharmaceuticals Ltd.,"Unit Price: ৳ 45.00,(8's pack: ৳ 360.00),",(8's pack: ৳ 360.00)
23,Aclo,allopathic,aclotablet100-mg,Tablet,Aceclofenac,100 mg,Alco Pharma Ltd.,"Unit Price: ৳ 4.00,(100's pack: ৳ 400.00),",(100's pack: ৳ 400.00)
7945,Ceftizone,allopathic,ceftizoneim-injection500-mgvial,IM Injection,Ceftriaxone Sodium,500 mg/vial,Renata Limited,500 mg vial: ৳ 140.53,
7944,Ceftizone,allopathic,ceftizoneim-injection250-mgvial,IM Injection,Ceftriaxone Sodium,250 mg/vial,Renata Limited,250 mg vial: ৳ 100.38,
7948,Ceftizone,allopathic,ceftizoneiv-injection500-mgvial,IV Injection,Ceftriaxone Sodium,500 mg/vial,Renata Limited,500 mg vial: ৳ 140.53,
7949,Ceftizone,allopathic,ceftizoneiv-injection1-gmvial,IV Injection,Ceftriaxone Sodium,1 gm/vial,Renata Limited,1 gm vial: ৳ 250.00,
7950,Ceftizone,allopathic,ceftizoneiv-injection2-gmvial,IV Injection,Ceftriaxone Sodium,2 gm/vial,Renata Limited,2 gm vial: ৳ 341.28,
7946,Ceftizone,allopathic,ceftizoneim-injection1-gmvial,IM Injection,Ceftriaxone Sodium,1 gm/vial,Renata Limited,1 gm vial: ৳ 250.00,
18954,Ceftiten,allopathic,ceftitencapsule400-mg,Capsule,Ceftibuten Dihydrate,400 mg,Asiatic Laboratories Ltd.,"Unit Price: ৳ 120.00,(6's pack: ৳ 720.00),",(6's pack: ৳ 720.00)
18955,Ceftiten,allopathic,ceftitenpowder-for-suspension90-mg5-ml,Powder for Suspension,Ceftibuten Dihydrate,90 mg/5 ml,Asiatic Laboratories Ltd.,60 ml bottle: ৳ 480.00,
8159,Ceftipime,allopathic,ceftipimeimiv-injection1-gmvial,IM/IV Injection,Cefepime Hydrochloride,1 gm/vial,Renata Limited,1 gm vial: ৳ 552.08,
8158,Ceftipime,allopathic,ceftipimeimiv-injection500-mgvial,IM/IV Injection,Cefepime Hydrochloride,500 mg/vial,Renata Limited,500 mg vial: ৳ 301.13,
8160,Ceftipime,allopathic,ceftipimeiv-injection2-gmvial,IV Injection,Cefepime Hydrochloride,2 gm/vial,Renata Limited,"2 gm vial: ৳ 1,104.15",
29612,Ceftid QS,allopathic,ceftid-qspediatric-drops100-mgml,Pediatric Drops,Cefixime Trihydrate,100 mg/ml,Opsonin Pharma Ltd.,11 ml bottle: ৳ 225.00,
7529,Ceftid DS,allopathic,ceftid-dspowder-for-suspension200-mg5-ml,Powder for Suspension,Cefixime Trihydrate,200 mg/5 ml,Opsonin Pharma Ltd.,50 ml bottle: ৳ 321.21,
28314,Ceftid,allopathic,ceftidtablet200-mg,Tablet,Cefixime Trihydrate,200 mg,Opsonin Pharma Ltd.,"Unit Price: ৳ 35.11,(14's pack: ৳ 491.54),",(14's pack: ৳ 491.54)
28315,Ceftid,allopathic,ceftidtablet400-mg,Tablet,Cefixime Trihydrate,400 mg,Opsonin Pharma Ltd.,"Unit Price: ৳ 50.35,(7's pack: ৳ 352.45),",(7's pack: ৳ 352.45)
